nome;ID_SAP;lat;lon;safra;estimativa_financiamento;estimativa_subsidio;uf;regiao;cidade;bairro;preco_cheio;avaliacao;financiamento;subsidio;sub_max_f2;fipezap;vso_medio;vso_avm;renda_bruta_media;renda_media;Bojo;Cauda;dens_demog;rma1;rma2;rmb1;rmb2;rmc1;rmc2;rmd;rme;pcta1;pcta2;pctb1;pctb2;pctc1;pctc2;pctd;pcte;pct_pead;pct_algd;estrategia;ufBA;ufCE;ufGO;ufPE;ufPR;ufRJ;ufRS;ufSP;cidSP;rg1;rg2;rg3;rg4;rg5;capital;aglomerado11;aglomerado21;aglomerado22;aglomerado23;aglomerado_regiao11;aglomerado_regiao12;aglomerado_regiao13;Saúde_ate_3km_influente;Saúde_ate_5km_influente;parada de ônibus_ate_5km_influente;parada de ônibus_maior_5km_influente
alpes - villa italia;QN40;-23,48370;-46,72240;treino;129944,2313;8918,857274;SP;1;SÃO PAULO;JARAGUA;168909,4767;215000;125788,7883;7725,520735;29000;4915,666582;28;31;3005,724255;3601,758696;2233,940182;3720,071793;9781,431457;73967,68732;23083,10661;12097,32311;6722,8084;4162,579628;2321,746691;1254,69299;581,1965178;3,48E-05;0,003409087;0,062989734;0,135359758;0,242919034;0,26371499;0,08266339;0,208746047;0,269794804;0,158455035;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0
parque lusitania;RY10;;;treino;87473,60368;15602,15826;PE;5;PAULISTA;Maranguape;124988,6913;127955,3571;89491,56478;15540,125;21090;3098;25;28;2021,900268;3184,660701;1802,572967;3419,757347;5685,008391;34788,13169;23314,72377;12625,85153;6770,156693;4163,24036;2328,810652;1254,945654;953,0703655;4,75E-05;0,000900706;0,036185101;0,11225772;0,213852328;0,307590247;0,09101774;0,235322982;0,075374029;0,15789629;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1
parque cerrado;QW50;;;treino;89860,92022;18963,65286;GO;2;GOIÂNIA;Setor Garavelo;127962,5377;129863,5352;87246,38896;17628,61408;27420;2121;22;27;1988,346056;4303,524294;;;3468,148526;40999,28916;22907,77703;12009,64238;6561,640585;4163,426851;2328,574009;1254,868582;736,1500121;0,000996777;0,00367222;0,072397824;0,200716688;0,292985603;0,277165409;0,028656612;0,123408867;0,407187489;0,216632832;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;2;0;0;0;0;1
nova primavera;QR50;-29,95450;-51,19136;treino;89976,04996;17244,57852;RS;4;CANOAS;Rio Branco;116285,8473;137292,887;81802,95749;18260,41004;23200;3581;26;27;1823,421757;4265,867235;1718,495699;3516,774762;2703,738009;34787,91583;24066,31873;12673,47291;6402,359981;4163,300316;2328,412696;1254,833444;884,3212093;5,69E-05;0,005476895;0,067255201;0,216639925;0,269500402;0,248973309;0,05969214;0,131274084;0,744922087;0,129566743;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;1;0;0
bella estancia;RJ30;-29,92202;-51,13624;treino;92084,0964;17009,61804;RS;4;CANOAS;Estância Velha;119067,6505;132723,3333;86677,10447;17531,32187;23200;3259,5;31;27;1917,1044;5212,939399;1789,089641;3194,347391;2410,580772;56991,56208;26453,55488;12924,19191;6458,011912;4163,368565;2324,060983;1254,930347;683,5291153;0,003623583;0,022632604;0,092826662;0,215475905;0,273996147;0,232704863;0,046178603;0,112561631;0,631692762;0,089359364;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;1;0;0
vida alegre canoas;QM30;-29,93025;-51,19321;treino;94122,05996;15358,3389;RS;4;CANOAS;Mato Grande;123476,9603;139216,7832;92919,02385;14478,13287;23200;3123;20;27;2166,997273;5236,92637;1914,174231;3760,743125;3782,41726;44836,12907;26566,45802;12895,69489;6422,468918;4163,444434;2325,157652;1254,883374;814,9990281;0,003524183;0,022228431;0,094809722;0,22671616;0,276182181;0,221377283;0,043667712;0,110756068;0,663759192;0,14121442;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;1;1;0;0
praia bela;RI80;;;treino;81446,72409;17646,21706;PE;5;JABOATÃO DOS GUARARAPES;Barra de Jangada;119050,6278;125731,0526;85874,33458;15448,30368;21090;5208,769231;26;26;2080,589789;2658,302113;1748,156528;3489,744324;3418,850216;0;0;11246,23869;6757,374673;4163,009837;2328,686394;1254,892364;952,4778444;0;0;0,012843928;0,080660328;0,194064708;0,328173929;0,101517411;0,282739695;0,341267825;0,163201506;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0
villa germanica;RN30;;;treino;88191,06724;18107,93998;RS;4;SÃO LEOPOLDO;Santos Dumont;114492,828;134287,0662;86503,01278;14633,82965;23200;2625;22;26;1960,27489;4383,633331;1848,9026;3057,634;3138,590753;45622,74503;25817,2845;12719,25851;6400,172239;4163,458954;2328,703022;1254,874896;843,7422086;0,003610914;0,014621922;0,056888412;0,193195614;0,250766985;0,273780868;0,062996894;0,143012881;0,608191913;0,120409598;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;1;1
terra brasilis;PV10;-12,70647;-38,31696;treino;78928,59689;18301,39443;BA;5;CAMAÇARI;Ponto Certo;112993,2096;121274,6867;81287,05293;16186,0401;21090;4548;23;25;1857,014085;2802,546329;1752,362759;2992,373462;3661,221878;0;0;12048,76332;6449,080832;4044,796809;2327,328035;1254,973258;777,4297063;0;0;0,018181823;0,09131062;0,226500162;0,332317782;0,099020383;0,232536423;0,570930767;0,15934863;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1;1
jardim passare;RU10;-3,81266;-38,51934;treino;87083,77949;22083,86839;CE;4;FORTALEZA;Passaré;127099,8834;119290,5685;80964,64223;21482,74112;23200;3580,4;23;25;1821,181168;3165,176886;1664,551595;3454,99;7036,677456;61452,55717;25885,44535;12202,44758;6413,09003;3966,51243;2310,715781;1254,879412;842,750807;0,000300658;0,0043695;0,047256211;0,094157253;0,205500842;0,305602536;0,106546923;0,235096829;0,571554031;0,160633352;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;1;1;1;1
parque das rosas;QW40;-8,09353;-34,96099;treino;105725,5311;10743,49493;PE;4;RECIFE;Barro;133327,601;149438,9439;104931,0646;9177,674917;23200;4032,8;24;25;2660,418713;2948,3497;2093,137654;3562,268333;7642,547628;0;21937,22797;13089,14045;6791,890934;4162,765033;2328,731348;1254,871264;952,4836225;0;0,000587701;0,032558306;0,08973705;0,190747826;0,307751314;0,097314249;0,280306456;0,372290092;0,16460155;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;2;0;1;1;0;0
costa verde;RE50;-22,95953;-43,33532;treino;126849,7361;8218,234458;RJ;1;RIO DE JANEIRO;Itanhangá;166356,1404;200000;127317,7519;6747,890052;29000;4281;17;25;3052,882094;4473,250217;2198,630779;3561,320462;4963,584957;204223,4206;27600,50635;12741,14802;6432,98913;4032,692965;2166,297136;1254,844241;637,1207958;0,096406888;0,089276321;0,132802484;0,123074621;0,24193598;0,203370383;0,032313158;0,080771943;0,902380092;0,337086393;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;1
vila morumbi;RO60;-23,62579;-46,74395;treino;136296,0947;3856,76996;SP;1;SÃO PAULO;PARQUE REBOUCAS;180485,4545;201020,1149;138171,4757;4820,255747;29000;6050,241535;23;25;3328,75408;8940,363285;2300,644211;3664,297009;13546,87599;88731,93035;25244,46281;12876,28391;6823,48403;4159,141656;2327,581569;1254,73405;422,9114107;0,041922236;0,041838799;0,137438993;0,146829945;0,191809484;0,188502897;0,059875436;0,191724813;0,733494755;0,183817701;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;1;0;0;1;1;0;0
